Product Group,Product Group Detail,Aggregation Level,Cleaning Basis,Original Product Group,Source File,Source Sheet,Country,Market,Retail Channel,Product Category,Product Segment,Product Subsegment,Product Type,Product Base / Ingredient,Private Label,Storage State,Year,MAT Period,Value EUR,Value Local Currency,Local Currency,Volume kg/l,Selling Units,Dimension 1 Header,Dimension 1 Value,Dimension 2 Header,Dimension 2 Value,Dimension 3 Header,Dimension 3 Value,Dimension 4 Header,Dimension 4 Value,Dimension 5 Header,Dimension 5 Value,Dimension 6 Header,Dimension 6 Value,Dimension 7 Header,Dimension 7 Value,Dimension 8 Header,Dimension 8 Value
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,,,,2018,MAT WK4018,22667350.5,,EUR,11365232.9,11680347.3,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,,,,2019,MAT WK4019,26289478.8,,EUR,13265687.2,13557214,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,,,,2020,MAT WK4020,36967737.29999999,,EUR,18752705.4,19022584.200000003,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,Buckwheat,,,2018,MAT WK4018,48.5,,EUR,17.2,17.2,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,Buckwheat,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,Buckwheat,,,2019,MAT WK4019,59668.4,,EUR,24670.499999999996,24670.499999999996,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,Buckwheat,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,Buckwheat,,,2020,MAT WK4020,140082.8,,EUR,71873.19999999998,71873.19999999998,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,Buckwheat,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,Cashew,,,2018,MAT WK4018,242407.79999999996,,EUR,93891,93891,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,Cashew,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,Cashew,,,2019,MAT WK4019,123559.5,,EUR,45588.2,45588.2,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,Cashew,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,Cashew,,,2020,MAT WK4020,95354.8,,EUR,34614.09999999999,34614.09999999999,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,Cashew,,,,,,
Plant-based milk & drinks,Plant-based milk / beverages,Specific product/category row,Identified from milk / drink / beverage wording,Plant-based drinks / milk alternatives,Austria CW40.xlsx,Austria,Austria,Total AT incl / Hofer / Lidl,Total / Main retail market,Soy / Plant-based Milk Alternatives,Drink / Milk,,Drink / Milk,Spelt,,,2018,MAT WK4018,630321.6,,EUR,376470.8,374612.8,Dimension 1,,Market,Total AT incl / Hofer / Lidl,Category,Soy / Plant-based Milk Alternatives,Product Type,Drink / Milk,Product Base,Spelt,,,,,,
