,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Value (in EUR),,,Value (in GBP),,,Volume (in kg/l),,,Units,,,,,,,,,,,,
MARKET,CATEGORY,TYPE OF REFORMED MEAT,TYPE OF SAVOURY INGREDIENTS,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",READY MEALS - MEAT SUBS AMBIENT,,,"3,607,477","4,439,544","7,643,290","3,283,166","4,040,430","6,956,161","574,964","640,485","1,034,098","2,139,734","2,508,308","4,128,123",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,,,"138,968,533","174,387,513","263,678,396","126,475,302","158,710,127","239,973,785","14,725,698","16,629,189","24,972,062","63,529,656","76,360,391","109,068,007",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SAUSAGE,,"34,245,101","36,375,539","52,632,870","31,166,476","33,105,389","47,901,190","3,742,741","3,756,666","6,020,861","16,799,104","16,490,629","22,576,819",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SAUSAGE,QUORN,"23,028,622","21,084,160","13,522,644","20,958,356","19,188,700","12,306,963","2,540,091","2,149,982","1,391,533","12,617,924","10,877,183","7,466,085",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SAUSAGE,VEGETABLE,"7,901,715","8,974,721","15,989,011","7,191,353","8,167,897","14,551,604","873,774","967,577","1,882,757","3,172,529","3,490,208","6,412,823",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SAUSAGE,SOYA,"978,450","2,715,757","17,083,745","890,488","2,471,611","15,547,922","102,292","283,999","2,149,585","362,223","1,051,069","6,775,079",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SAUSAGE,TOFU,"1,551,368","1,893,350","1,946,177","1,411,900","1,723,139","1,771,216","114,346","131,072","127,278","405,169","480,267","453,661",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SAUSAGE,OTHER,"752,324","1,680,642","2,063,058","684,690","1,529,553","1,877,590","110,736","223,010","252,290","232,455","585,046","681,333",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SAUSAGE,SEITAN,"32,622","26,909","5,741","29,689","24,490","5,225","1,502","1,027",238,"8,803","6,856","1,259",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SAUSAGE,NOT DETERMINED,0,0,"2,022,492",0,0,"1,840,671",0,0,"217,181",0,0,"786,580",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SLICES,,"22,558,018","27,978,467","36,411,826","20,530,059","25,463,211","33,138,414","1,419,952","1,668,299","2,092,330","11,802,205","15,308,117","17,164,835",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SLICES,QUORN,"21,165,104","25,871,648","33,221,564","19,262,368","23,545,794","30,234,955","1,339,932","1,550,800","1,908,066","11,123,530","14,383,751","15,786,800",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SLICES,TOFU,"426,950","1,128,594","1,030,640","388,567","1,027,134","937,986","23,298","61,643","48,807","149,349","395,147","312,862",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SLICES,SOYA,"591,768","509,176","472,859","538,568","463,402","430,349","39,761","33,831","30,852","380,039","338,311","308,523",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,SLICES,OTHER,"340,911","428,690","851,059","310,263","390,151","774,550","15,697","20,217","59,286","136,212","173,580","400,420",,,,,,,,,,
