country,year,video_id,url,title,description,channel_title,published_at,duration_seconds,view_count,like_count,comment_count,default_language,tags_str,transcript_excerpt,summary,sentiment,narr_health,narr_environment,narr_animal_welfare,narr_taste,narr_price,narr_convenience,narr_novelty,narr_cultural_fit
Denmark,2017,wy4krbuoNOo,https://www.youtube.com/watch?v=wy4krbuoNOo,Kids Try Vegan Food | Kids Try | HiHo Kids,"We’re making a Kids Try Cookbook!
Sign up for updates at: http://kidstry.co
Sponsor this series: http://www.cut.com/sponsorship
Come play with us!
Sign up at http://bitly.com/hihofans to get updates on HiHo, special offers, and exclusive behind-the-scenes content with your favorite kids.
SUBSCRIBE to HiHo Kids:
››http://bit.ly/HiHoYouTube

About Kids Try:
Your favorite kiddos survey the world one surprising plate at a time in our first season of Kids Try.

Don't forget to subscribe and follow us!
Facebook- http://www.facebook.com/hihokids
YouTube- http://www.youtube.com/hihokids
Get HiHo swag here: http://bit.ly/BuyCut

About HiHo Kids:
Every kid – including the one inside each of us – needs imagination and curiosity about the world. HiHo promotes empathy through play.

Send HiHo kids things to unbox: 
PO Box 19604, Seattle WA 98109

Stay updated by signing up to our email list @ bit.ly/ytJoinTheFamily 
For licensing inquiries: http://cut.com/licensing
Want to work with us? http://cut.",HiHo Kids,2017-07-04T14:00:06Z,319,9794159,115074.0,,en,kids try; vegan; vegan food; kids try vegan food; kids eat vegan; vegan kids; hiho kids; hiho; cut; Kids Try; games; kid videos; challenges; kids challenges; challenge videos; kids try toys; kids try videos; kid games; Hiho Kids; hi ho; HiHoKids; Hiho; for kids; kids describe; food; ernie; ernie tries; unboxing; family; family friendly; Maddox; Maddox weddle; experiment; kids play; fun; friends,,"Facebook- http://www.facebook.com/hihokids
YouTube- http://www.youtube.com/hihokids
Get HiHo swag here: http://bit.ly/BuyCut

About HiHo Kids:
Every kid – including the one inside each of us – needs imagination and curiosity about the world. http://cut.com/casting

Want to sponsor a video? http://cut.com/sponsorships
Love HiHo? Kids Try Vegan Food | Kids Try | HiHo Kids
https://www.youtube.com/watch?v=wy4krbuoNOo

HiHo Kids
https://youtube.com/hihokids",0.9693,0,0,0,0,1,0,8,0
Denmark,2017,CaItdegkoNE,https://www.youtube.com/watch?v=CaItdegkoNE,VEGAN SCHOOL LUNCH IDEAS » healthy + easy (bento box),"🌿📖 Pre-order our debut cookbook SIMPLY PLANTS (🥹!!): https://www.pickuplimes.com/book/simply-plants/
📲 Try our app 7 days FREE!: https://pickuplimes.com/app
🎉 Have you tried a PUL recipe? Leave a review: https://www.pickuplimes.com/recipe/
💌  Sign-up for our newsletters: http://bit.ly/PUL_newsletters 
🎶 The music we used: http://bit.ly/YTube_music (great for YouTube creators). 
🎵 ""IOU"" by Josh Woodward. Free download: http://joshwoodward.com. 
🍱 Bento box: https://amzn.to/3C3NcRE

RECIPES
🌱 Roasted garlic & red pepper hummus: http://bit.ly/2g6XOZH-red-hummus
🌱 Chocolate fudge brownie bites: http://bit.ly/2zKLNRy-brownie-bites
🌱 Brown rice & green bean miso salad: http://bit.ly/2inWijM-rice-salad
🌱 One-bowl PB & chocolate oatmeal cookies: http://bit.ly/2y3IAYG-cookies
🌱 Classic garlic & lemon hummus: http://bit.ly/2A7e3yq-classic-hummus

STAY CONNECTED 🙋🏻‍♀️ 
👉 Instagram: https://www.instagram.com/pickuplimes/ 
👉 TikTok: https://www.tiktok.com/@pick_up_limes 
👉 Facebook: https://www.fac",Pick Up Limes,2017-03-29T18:00:07Z,524,4820467,187297.0,2424.0,en,lunch ideas; school lunch ideas; lunch to-go; bento box; bento box lunch; quick lunch ideas; easy lunch ideas; vegan lunch; vegan school lunch ideas; vegan snack ideas; vegan school lunch prep; lunch prep; meal prep; lunch kids; vegan school lunch ideas kids; vegan school lunches; healthy school lunch ideas; weight loss; healthy luch ideas; work lunch ideas; lunch ideas for kids; lunch ideas for work; lunch ideas for weight loss; lunch ideas bento; vegan; student,,"🌿📖 Pre-order our debut cookbook SIMPLY PLANTS (🥹!!): https://www.pickuplimes.com/book/simply-plants/
📲 Try our app 7 days FREE!: https://pickuplimes.com/app
🎉 Have you tried a PUL recipe? Leave a review: https://www.pickuplimes.com/recipe/
💌  Sign-up for our newsletters: http://bit.ly/PUL_newsletters 
🎶 The music we used: http://bit.ly/YTube_music (great for YouTube creators). Free download: http://joshwoodward.com. 🍱 Bento box: https://amzn.to/3C3NcRE

RECIPES
🌱 Roasted garlic & red pepper hummus: http://bit.ly/2g6XOZH-red-hummus
🌱 Chocolate fudge brownie bites: http://bit.ly/2zKLNRy-brownie-bites
🌱 Brown rice & green bean miso salad: http://bit.ly/2inWijM-rice-salad
🌱 One-bowl PB & chocolate oatmeal cookies: http://bit.ly/2y3IAYG-cookies
🌱 Classic garlic & lemon hummus: http://bit.ly/2A7e3yq-classic-hummus

STAY CONNECTED 🙋🏻‍♀️ 
👉 Instagram: https://www.instagram.com/pickuplimes/ 
👉 TikTok: https://www.tiktok.com/@pick_up_limes 
👉 Facebook: https://www.facebook.com/pickuplimes/ 
👉 Pinterest: https://www.pinterest.com/sadiabadiei/ 
 
❤ Sadia",0.9877,2,0,0,0,0,1,4,0
Denmark,2017,Jws82U8a0X0,https://www.youtube.com/watch?v=Jws82U8a0X0,"KIDS EAT VEGAN FOOD! (Vegan Shrimp, Chicken, Ice Cream) | Kids Vs. Food","Vegan Food tried by Kids! 
Watch all People Vs Food Eps! http://goo.gl/KjLw5C 
Join the SuperFam and support FBE: https://www.youtube.com/user/React/join
SUBSCRIBE & HIT THE 🔔! New Videos 12pm PST on REACT! https://goo.gl/7SnCnC
Watch latest videos from FBE! https://goo.gl/aU5PSm

Kids try the different Vegan Foods! What will their reaction be?! Stay tuned for more People vs. Food, here on the REACT channel.

This episode features the following reactors:
Dominick
Gabe
https://www.instagram.com/gabeglc/
Janelle
https://www.instagram.com/missjanellebee/
Madison
Max
Samirah
Sydney
https://www.instagram.com/sydneybergerson/
Tyler
https://www.instagram.com/Tyler.j.d/

Follow FBE:
FBE WEBSITE: https://fbeteam.com/
FBE CHANNEL: http://www.youtube.com/FBE
REACT CHANNEL: http://www.youtube.com/REACT
BONUS CHANNEL: https://www.youtube.com/FBE2
FACEBOOK: http://www.facebook.com/FBE
FACEBOOK: http://www.facebook.com/FBEShows
TWITTER: http://www.twitter.com/fbe
INSTAGRAM: http://www.instagram.com/f",Teens REACT,2017-03-28T19:00:01Z,416,4265553,54626.0,5561.0,en,vegan food; kids vs vegan food; kids try vegan food; KIDS VS FOOD | VEGAN FOOD; KIDS VS FOOD; reaction; react; reactions; reacts; thefinebros; fine brothers; fine brothers entertainment; FBE; versus food; vs food; taste test; food; eat; kids food; worst; best; gross; food challenge; comedy; weird; spicy; hot; challenge; viral; funny; laugh challenge; try not to laugh; try to watch without laughing or grinning; react gaming; do they know it; staff reacts; lyric breakdown,,"http://goo.gl/KjLw5C 
Join the SuperFam and support FBE: https://www.youtube.com/user/React/join
SUBSCRIBE & HIT THE 🔔! https://goo.gl/7SnCnC
Watch latest videos from FBE! https://goo.gl/aU5PSm

Kids try the different Vegan Foods! This episode features the following reactors:
Dominick
Gabe
https://www.instagram.com/gabeglc/
Janelle
https://www.instagram.com/missjanellebee/
Madison
Max
Samirah
Sydney
https://www.instagram.com/sydneybergerson/
Tyler
https://www.instagram.com/Tyler.j.d/

Follow FBE:
FBE WEBSITE: https://fbeteam.com/
FBE CHANNEL: http://www.youtube.com/FBE
REACT CHANNEL: http://www.youtube.com/REACT
BONUS CHANNEL: https://www.youtube.com/FBE2
FACEBOOK: http://www.facebook.com/FBE
FACEBOOK: http://www.facebook.com/FBEShows
TWITTER: http://www.twitter.com/fbe
INSTAGRAM: http://www.instagram.com/f/fbe
SNAPCHAT: https://www.snapchat.com/add/finebros
TWITCH: https://www.twitch.tv/fbelive
TUMBLR: http://fbeofficial.tumblr.com/
MUSICAL.LY: @fbe

SEND US STUFF:
FBE
P.O.",0.9493,0,0,0,0,0,0,3,0
Denmark,2017,yw6R05LZXsQ,https://www.youtube.com/watch?v=yw6R05LZXsQ,Strawberry Watermelon Popsicles (Vegan + Paleo),"One of my ALL-TIME most popular recipes is this one for Strawberry Watermelon Popsicles. Just 3 Ingredients (100% fruit) and they taste AMAZING. The perfect snack or treat on a hot day! 

FULL RECIPE: http://www.onelovelylife.com/strawberry-watermelon-popsicles/

SHOP OUR FAVORITE POPSICLE MOLD (affiliate link): https://bit.ly/2WLgBMJ

GET MORE HEALTHY POPSICLE RECIPES HERE: https://www.onelovelylife.com/the-best-healthy-homemade-popsicles/

LOVE WATERMELON? YOU'D LOVE THESE HEALTHY WATERMELON SLUSHIES! https://www.onelovelylife.com/watermelon-slushie/",One Lovely Life,2017-05-31T02:38:55Z,52,3452271,56956.0,105.0,en,popsicles; ice pops; healthy; snack; kid friendly recipes; paleo; vegan; gluten free; dairy free; vegetarian; healthy treat; paleo dessert; vegan dessert; gluten free dessert; watermelon popsicles; strawberry popsicles; healthy popsicles; vegan popsicles; paleo popsicles,,"One of my ALL-TIME most popular recipes is this one for Strawberry Watermelon Popsicles. FULL RECIPE: http://www.onelovelylife.com/strawberry-watermelon-popsicles/

SHOP OUR FAVORITE POPSICLE MOLD (affiliate link): https://bit.ly/2WLgBMJ

GET MORE HEALTHY POPSICLE RECIPES HERE: https://www.onelovelylife.com/the-best-healthy-homemade-popsicles/

LOVE WATERMELON? YOU'D LOVE THESE HEALTHY WATERMELON SLUSHIES! https://www.onelovelylife.com/watermelon-slushie/",0.9899,6,0,0,1,0,0,0,0
Denmark,2017,vsVC0nnL2ns,https://www.youtube.com/watch?v=vsVC0nnL2ns,2015 Danish 24hr Combat Ration Pack Hot Weather MRE Review Meal Ready To Eat Taste Test,"This Danish 24 Hour Combat Ration one of the best MREs. It has everything from Columbian freeze dried coffee, 2 dark chocolate bars, & a complex main course (Chicken Biryani) to extensive hygiene items like a toothbrush, dental gum, and even 3 toothpicks. Denmark spares no expense to give their soldiers the utmost quality in their food. What an experience!

Huge thanks to Thor-is-Testing for this Danish 24hr! 
Check out his channel here: https://www.youtube.com/channel/UC6ZHlSDZd0IiSqJSvRLosvg


(Merch)
https://steve1989-shop.fourthwall.com/

(Autographs - Can Openers - Trays)
https://www.patreon.com/user?u=2821334&ty=h",Steve1989MREInfo,2017-08-06T21:07:09Z,1990,3063006,41969.0,3601.0,en,mre; ration; army; food; military; meal; ready; to; eat; pack; survival; camping; emergency; ASMR; steve1989; mreinfo; steve; mci; ww2; korea; vietnam; gulf; war; modern; civilian; packaged; packet; oldest; cigarette; smoked; eaten; tasting; crazy; rarest; coolest; amazing; SHTF; review; Denmark MRE; Danish 24 Hour Ration; 24 hour MRE; MRE Steve; Steve1989 Taste Test; MRE Review; MRE Taste Test; Meal Ready to Eat; Best MRE I Ever Had; Worst MRE I Ever Had,,"This Danish 24 Hour Combat Ration one of the best MREs. Denmark spares no expense to give their soldiers the utmost quality in their food. Huge thanks to Thor-is-Testing for this Danish 24hr! Check out his channel here: https://www.youtube.com/channel/UC6ZHlSDZd0IiSqJSvRLosvg


(Merch)
https://steve1989-shop.fourthwall.com/

(Autographs - Can Openers - Trays)
https://www.patreon.com/user?u=2821334&ty=h",0.8475,0,0,0,1,0,0,1,0
Denmark,2017,8Cq19bdJ2nI,https://www.youtube.com/watch?v=8Cq19bdJ2nI,LUNCH IDEAS FOR KIDS » vegan + healthy (bento box),"🌿📖 Pre-order our debut cookbook SIMPLY PLANTS (🥹!!): https://www.pickuplimes.com/book/simply-plants/
📲 Try our app 7 days FREE!: https://pickuplimes.com/app
🎉 Have you tried a PUL recipe? Leave a review: https://www.pickuplimes.com/recipe/
👩🏻‍🍳 Get the PUL E-cookbook: http://bit.ly/PUL_Ebook  
💌  Sign-up for our newsletters: http://bit.ly/PUL_newsletters 
🎵 ""Already There"" by Josh Woodward. Free download: http://joshwoodward.com.
🍱 Bento box: https://amzn.to/3C3NcRE

RECIPES
🌱 Vegan Nutella: http://bit.ly/2mAEQgj-nutella 
🌱 PB oatmeal cookies: http://bit.ly/2y3IAYG-cookies
🌱 PB & chocolate oat bars: http://bit.ly/2hHzwWT-granola-bars
🌱 Berry chia jam: http://bit.ly/2zJH6aD-jam

WHAT WE USE @ THE PUL KITCHEN (2019)
» Blender: https://amzn.to/2GfbeL6
» Food processor: https://amzn.to/2IquU2b
» Hand blender: https://amzn.to/2PojlJM
» Cast iron pot: https://amzn.to/2WtKDT6
» Mini spice jars: http://amzn.to/2exHWP8
» Air-tight containers: http://amzn.to/2iPXmiW

STAY CONNECTED 🙋🏻‍♀️ 
👉 Inst",Pick Up Limes,2017-04-07T09:34:02Z,550,2437449,53034.0,1021.0,en,meal ideas for kids; lunch ideas; lunchbox ideas; lunch box ideas; back to school; vegan; nutrition; healthy; school lunch ideas; school lunch ideas kids; healthy kids lunch ideas; healthy lunch ideas kids; kids lunch box ideas; bento box; bento box lunch; bento box lunch ideas; lunch ideas for kids; kids snack ideas; after school snack ideas; kids lunch ideas; lunch ideas kids; lunch time for kids; vegan kids; vegan kids lunch; lunch hacks for kids,,"🌿📖 Pre-order our debut cookbook SIMPLY PLANTS (🥹!!): https://www.pickuplimes.com/book/simply-plants/
📲 Try our app 7 days FREE!: https://pickuplimes.com/app
🎉 Have you tried a PUL recipe? Leave a review: https://www.pickuplimes.com/recipe/
👩🏻‍🍳 Get the PUL E-cookbook: http://bit.ly/PUL_Ebook  
💌  Sign-up for our newsletters: http://bit.ly/PUL_newsletters 
🎵 ""Already There"" by Josh Woodward. Free download: http://joshwoodward.com. 🍱 Bento box: https://amzn.to/3C3NcRE

RECIPES
🌱 Vegan Nutella: http://bit.ly/2mAEQgj-nutella 
🌱 PB oatmeal cookies: http://bit.ly/2y3IAYG-cookies
🌱 PB & chocolate oat bars: http://bit.ly/2hHzwWT-granola-bars
🌱 Berry chia jam: http://bit.ly/2zJH6aD-jam

WHAT WE USE @ THE PUL KITCHEN (2019)
» Blender: https://amzn.to/2GfbeL6
» Food processor: https://amzn.to/2IquU2b
» Hand blender: https://amzn.to/2PojlJM
» Cast iron pot: https://amzn.to/2WtKDT6
» Mini spice jars: http://amzn.to/2exHWP8
» Air-tight containers: http://amzn.to/2iPXmiW

STAY CONNECTED 🙋🏻‍♀️ 
👉 Instagram: https://www.instagram.com/pickuplimes/ 
👉 TikTok: https://www.tiktok.com/@pick_up_limes 
👉 Facebook: https://www.facebook.com/pickuplimes/ 
👉 Pinterest: https://www.pinterest.com/sadiabadiei/ 
 
❤ Sadia",0.9821,2,0,0,0,0,0,4,0
Denmark,2017,mwiKZ4qmRnQ,https://www.youtube.com/watch?v=mwiKZ4qmRnQ,The Best Ever Vegan Chocolate Chip Cookies,"Buy the Tasty Cookbook Today: http://bit.ly/2zVLRyd 

Get the recipe: https://tasty.co/recipe/vegan-chocolate-chip-cookies

Check us out on Facebook! - facebook.com/buzzfeedtasty

Credits: https://www.buzzfeed.com/bfmp/videos/40372


MUSIC
Licensed via Audio Network",Tasty,2017-12-19T02:00:15Z,99,2311218,64064.0,2564.0,en,BuzzFeed; BuzzFeed Tasty; K_fe; KtKp; Tasty; baking; chocolate; chocolate chip cookies; cookies; desserts; food; vegan; vegan chocolate chip cookies; vegetarian,,"Buy the Tasty Cookbook Today: http://bit.ly/2zVLRyd 

Get the recipe: https://tasty.co/recipe/vegan-chocolate-chip-cookies

Check us out on Facebook! - facebook.com/buzzfeedtasty

Credits: https://www.buzzfeed.com/bfmp/videos/40372


MUSIC
Licensed via Audio Network",0.7901,0,0,0,3,0,0,0,0
Denmark,2017,649tA4lkXuI,https://www.youtube.com/watch?v=649tA4lkXuI,EASY VEGAN DINNER RECIPES » nourish bowls,"📲 Try our app 7 days FREE!: https://pickuplimes.com/app
👉 Watch the ""just music"" version of this video: https://youtu.be/wkrcCd0mLHM  
💌  Sign-up for our newsletters: http://bit.ly/PUL_newsletters 
🎥 Film & photography gear we use: https://bit.ly/PUL_filming_gear
🎶 Music ""Don't Close Your Eyes"" & ""I'm Letting Go"" by Josh Woodward. Free download: http://joshwoodward.com

RECIPES
00:00 Intro
00:26 Autumn glow bowl: http://bit.ly/2zE15Uf-autumn-glow
02:20 Deconstructed sushi bowl: http://bit.ly/2y6YQIh-sushi-bowl
04:34 Burrito bowl: http://bit.ly/2gIGMBy-burrito-bowl
06:41 Outro

BONUS
🌱 Homemade tahini: http://bit.ly/PUL_tahini
🤓 PUL article on the benefits of soaking: https://bit.ly/benefits_soaking

WHAT WE USE @ THE PUL KITCHEN (2019)
» Blender: https://amzn.to/2GfbeL6
» Food processor: https://amzn.to/2IquU2b
» Hand blender: https://amzn.to/2PojlJM
» Cast iron pot: https://amzn.to/2WtKDT6
» Mini spice jars: http://amzn.to/2exHWP8
» Air-tight containers: http://amzn.to/2iPXmiW

STAY C",Pick Up Limes,2017-10-27T15:25:38Z,444,1811212,55389.0,1014.0,en,vegan dinner; dinner; dinner recipes; dinner ideas; quick vegan dinner; vegan dinner under 30 minutes; must try vegan dinners; vegan recipes; vegan dinner party; vegan dinner ideas; vegan dinner recipes; vegan dinner meals; vegan meal prep; meal prep; best vegan dinner; high carb vegan dinner; healthy vegan dinner; vegan supper; vegan dinner family; vegan dinner families; fall recipes; winter recipes; vegan; vegan lunch ideas; vegan lunch recipes; vegan lunch,,"📲 Try our app 7 days FREE!: https://pickuplimes.com/app
👉 Watch the ""just music"" version of this video: https://youtu.be/wkrcCd0mLHM  
💌  Sign-up for our newsletters: http://bit.ly/PUL_newsletters 
🎥 Film & photography gear we use: https://bit.ly/PUL_filming_gear
🎶 Music ""Don't Close Your Eyes"" & ""I'm Letting Go"" by Josh Woodward. Free download: http://joshwoodward.com

RECIPES
00:00 Intro
00:26 Autumn glow bowl: http://bit.ly/2zE15Uf-autumn-glow
02:20 Deconstructed sushi bowl: http://bit.ly/2y6YQIh-sushi-bowl
04:34 Burrito bowl: http://bit.ly/2gIGMBy-burrito-bowl
06:41 Outro

BONUS
🌱 Homemade tahini: http://bit.ly/PUL_tahini
🤓 PUL article on the benefits of soaking: https://bit.ly/benefits_soaking

WHAT WE USE @ THE PUL KITCHEN (2019)
» Blender: https://amzn.to/2GfbeL6
» Food processor: https://amzn.to/2IquU2b
» Hand blender: https://amzn.to/2PojlJM
» Cast iron pot: https://amzn.to/2WtKDT6
» Mini spice jars: http://amzn.to/2exHWP8
» Air-tight containers: http://amzn.to/2iPXmiW

STAY CONNECTED 🙋🏻‍♀️ 
👉 Instagram: https://www.instagram.com/pickuplimes/ 
👉 TikTok: https://www.tiktok.com/@pick_up_limes 
👉 Facebook: https://www.facebook.com/pickuplimes/ 
👉 Pinterest: https://www.pinterest.com/sadiabadiei/ 
 
❤ Sadia",0.9857,0,0,0,0,0,1,4,0
Denmark,2017,oj0yH6M4x_w,https://www.youtube.com/watch?v=oj0yH6M4x_w,MAKE-AHEAD VEGAN LUNCH IDEAS » bento box,"📲 Try our app 7 days FREE!: https://pickuplimes.com/app
💌  Sign-up for our newsletters: http://bit.ly/PUL_newsletters 
🎥 Film & photography gear we use: https://bit.ly/PUL_filming_gear
🎶 Music ""I'm Letting Go"" by Josh Woodward. Free download: http://joshwoodward.com
📌 The giveaway is now CLOSED but you can get your own bento box here: http://amzn.to/2x0si6E  

RECIPES
00:00 Intro
00:49 Stuffed bell peppers: http://bit.ly/2vDUvuR-stuffedbellpepper
03:27 Spicy garlic wok noodles: http://bit.ly/2wN9Q12-woknoodlestiryfry
05:17 Granola apple bites: http://bit.ly/2vDVrzn-applebites
05:32 Crunchy pecan & cranberry granola: http://bit.ly/2gkmayQ-granola
06:00 Roasted cauliflower & potato wraps: http://bit.ly/2wXuGKC-cauliflowerpotatowrap
07:17 Summer fruit salad: http://bit.ly/2iDxx5R-fruitsalad
07:37 Candied sesame almonds: http://bit.ly/2wj4FTr-candiedsesamealmonds
08:01 Outro

BONUS RECIPE
🌱 Homemade hummus recipes: https://bit.ly/PUL_hummus_recipes

WHAT WE USE @ THE PUL KITCHEN (2019)
» B",Pick Up Limes,2017-08-28T22:02:44Z,533,1641217,61459.0,912.0,en,lunch ideas; school lunch ideas; lunch to-go; bento box; vegan lunch; vegan dinner; vegan snack; easy lunch ideas; easy dinner ideas; easy vegan lunch; easy vegan dinner; lunch prep; meal prep; vegan school lunch ideas; vegan school lunch prep; weight loss; healthy lunch ideas; healthy dinner ideas; lunch ideas for weight loss; vegan; student; vegan school lunch; work lunch; healthy lunch; healthy dinner; back to school; back-to-school; back to school lunch,,"📲 Try our app 7 days FREE!: https://pickuplimes.com/app
💌  Sign-up for our newsletters: http://bit.ly/PUL_newsletters 
🎥 Film & photography gear we use: https://bit.ly/PUL_filming_gear
🎶 Music ""I'm Letting Go"" by Josh Woodward. Free download: http://joshwoodward.com
📌 The giveaway is now CLOSED but you can get your own bento box here: http://amzn.to/2x0si6E  

RECIPES
00:00 Intro
00:49 Stuffed bell peppers: http://bit.ly/2vDUvuR-stuffedbellpepper
03:27 Spicy garlic wok noodles: http://bit.ly/2wN9Q12-woknoodlestiryfry
05:17 Granola apple bites: http://bit.ly/2vDVrzn-applebites
05:32 Crunchy pecan & cranberry granola: http://bit.ly/2gkmayQ-granola
06:00 Roasted cauliflower & potato wraps: http://bit.ly/2wXuGKC-cauliflowerpotatowrap
07:17 Summer fruit salad: http://bit.ly/2iDxx5R-fruitsalad
07:37 Candied sesame almonds: http://bit.ly/2wj4FTr-candiedsesamealmonds
08:01 Outro

BONUS RECIPE
🌱 Homemade hummus recipes: https://bit.ly/PUL_hummus_recipes

WHAT WE USE @ THE PUL KITCHEN (2019)
» Blender: https://amzn.to/2GfbeL6
» Food processor: https://amzn.to/2IquU2b
» Hand blender: https://amzn.to/2PojlJM
» Cast iron pot: https://amzn.to/2WtKDT6
» Mini spice jars: http://amzn.to/2exHWP8
» Air-tight containers: http://amzn.to/2iPXmiW

STAY CONNECTED 🙋🏻‍♀️ 
👉 Instagram: https://www.instagram.com/pickuplimes/ 
👉 TikTok: https://www.tiktok.com/@pick_up_limes 
👉 Facebook: https://www.facebook.com/pickuplimes/ 
👉 Pinterest: https://www.pinterest.com/sadiabadiei/ 
 
❤ Sadia",0.9831,0,0,0,0,0,0,3,0
Denmark,2017,HNw2YDzawhk,https://www.youtube.com/watch?v=HNw2YDzawhk,"Fried Cauliflower ""Chicken"" | Vegan Soul Food","RECIPE BELOW...
•
•
•
I call this fried cauliflower ""chicken"" because the recipe is based on southern fried chicken. It's so much better than the real stuff: juicy and delicious, no animals harmed, and much healthier for you and the environment!! 
Shout out to Edgy Veg for the hot sauce inspiration 👅

FRIED CAULIFLOWER ""CHICKEN"" RECIPE updated recipe on my blog: http://bit.ly/SpicyFriedCauliflower
Makes 4 servings

1 ½ tablespoons ground flaxseed plus ¼ cup water
1 cup all purpose flour
½ teaspoon salt
½ teaspoon cayenne pepper
½ teaspoon white pepper
½ teaspoon onion powder
½ teaspoon garlic powder
½ teaspoon sweet or smoked paprika
¼ teaspoon Old Bay seasoning 
1 tablespoon nutritional yeast
⅓ cup hot sauce
1 tablespoon Dijon mustard
5 cups safflower oil, or other frying oil
1 large head of cauliflower, cut into large florets 

In a small bowl combine the ground flaxseed with ¼ cup water, stir well and set it aside to thicken for at least 3 minutes. 

In a medium-sized mixing bowl co",SweetPotatoSoul,2017-03-27T22:16:19Z,385,1259996,55891.0,2223.0,en,fried cauliflower; cauliflower; vegan fried chicken; mock chicken; vegan; soul; vegan soul; jenne claiborne; roasted vegetable salad; vegan sou food; imitation chicken; meatless; vegetarian,,"Into the bowl with the flax mixture add the hot sauce and Dijon mustard and whisk until creamy. Dip it back into the flax mixture, and again into the dry mixture, keeping one hand devoted to wet and one to dry. Carefully lower the twice coated cauliflower into the hot oil. Continue to cook the remaining cauliflower.",0.9946,5,2,0,1,0,0,2,0
