video_id,url,title,upload_date,channel,summary,narratives,view_count,like_count,comment_count,transcript_source,description
7dQdSLCvlKo,https://www.youtube.com/watch?v=7dQdSLCvlKo,Shifting consumers behavior towards healthier and more sustainable options,2020-11-17,EAT,"This project was launched by WBCSD’s FReSH (Food Reform for Sustainability and Health) project, in collaboration with Bain. The objective is to motivate and enable companies to successfully shift consumer diets towards healthy and sustainable options. The foundations phase of this project focused on the UK and, by gaining insight on why people eat what they eat in selected segments, it formulates a list of collective and individual actions for WBCSD’s member companies interested in consumer behavior change.",health; environment,1580,19,,,"This project was launched by WBCSD’s FReSH (Food Reform for Sustainability and Health) project, in collaboration with Bain. The objective is to motivate and enable companies to successfully shift consumer diets towards healthy and sustainable options. We place particular focus on health, as research suggests that this is the primary consumer concern and that a shift to healthier diets will most likely also help with environmental concerns. The foundations phase of this project focused on the UK and, by gaining insight on why people eat what they eat in selected segments, it formulates a list of collective and individual actions for WBCSD’s member companies interested in consumer behavior change."
Hngvu6EpgzQ,https://www.youtube.com/watch?v=Hngvu6EpgzQ,2020 Global Plant-Forward Culinary Summit: Plant-Forward and the Consumer,2020-06-10,The Culinary Institute of America,"“Plant-Forward and the Consumer: Bridging the Familiar and the Unfamiliar” • Jacquelyn Chi (Director of Programs and Special Projects, Strategic Initiatives Group, CIA) “The Mind of the Consumer: Understanding Demand and Motivation for Plant-Forward Options” • Amanda Topper (Associate Director, Foodservice, Mintel) • Zak Weston (Foodservice and Supply Chain Manager, Good Food Institute) Find more information at",,877,11,0,,"“Plant-Forward and the Consumer: Bridging the Familiar and the Unfamiliar” • Jacquelyn Chi (Director of Programs and Special Projects, Strategic Initiatives Group, CIA) “The Mind of the Consumer: Understanding Demand and Motivation for Plant-Forward Options” • Amanda Topper (Associate Director, Foodservice, Mintel) • Zak Weston (Foodservice and Supply Chain Manager, Good Food Institute) Find more information at"
U5fww3Jfqeg,https://www.youtube.com/watch?v=U5fww3Jfqeg,How to attract vegan customers - with Kate Strong and David Pannell from Promote Vegan,2020-02-13,Promote Vegan,"The opportunities in the vegan and plant-based marketplace are huge, but how do you attract vegan customers to your business? - Monday 16th March, 6pm, The Square Club, Bristol - Tuesday 17th March, 6pm, HUB XV, Cardiff How can I build a sustainable company to connect with vegan customers? How do I launch a new product to capture the plant-based market?",identity_lifestyle; innovation_market; environment; animal_welfare,52,1,0,,"The opportunities in the vegan and plant-based marketplace are huge, but how do you attract vegan customers to your business? - Monday 16th March, 6pm, The Square Club, Bristol - Tuesday 17th March, 6pm, HUB XV, Cardiff How can I build a sustainable company to connect with vegan customers? How do I launch a new product to capture the plant-based market? The vegan and plant-based marketplace is booming: the number of vegans in the UK has quadrupled between 2014 and 2019 and the trend continues to grow. The growth in plant-based is not being driven by vegans alone though; 1 in 3 people in the UK are either stopping or reducing their meat consumption or dairy consumption, and it is this new consumer behaviour that has brought veganism into the mainstream. Join Kate Strong and Promote Vegan to explore the huge opportunities for your company in this radically different marketplace, and how you can create a sustainable business which is attractive to plant-based and ethical customers. Or maybe you already have an established business and want to launch a new product aimed at the vegan customer - we will show you how to discover the knowledge and authenticity to get it right. What you will learn: Why just being vegan is now no longer enough, and how you need to develop a real point of difference to be attractive to plant-based customers.​ Why sustainability and responsibility is now vital in building a successful ethical business.​ How to find and authentically connect with plant-based consumers. Which companies are doing it right, and what you can learn from them. How you can take on the big mainstream brands entering the vegan market and beat them - with your ethics. Book online through Eventbrite: - Monday 16th March, 6pm, The Square Club, Bristol - Tuesday 17th March, 6pm, HUB XV, Cardiff"
zxhGbwYLzXo,https://www.youtube.com/watch?v=zxhGbwYLzXo,Vegan steak that looks and tastes JUST like meat launches at Tesco,2018-05-19,"Xion Gion Co., LTD","Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings.",innovation_market; identity_lifestyle; taste_convenience; health; animal_welfare; environment; price_value,17,0,0,,"A plant-based 'steak' that is said to look and taste just like real meat will soon be available at a major supermarket.The steak, which is made of wheat and soy, will launch at 400 Tesco stores across the UK from May 21 as the country sees a boom in popularity for veganism and flexitarian lifestyles.The product has been made by Dutch manufacturer Vivera, which describes it as 'barely distinguishable from real steak' in taste, texture and smell. It comes after British supermarkets have reported a surge in sales of vegan food, with the Vegan Society saying that more than half of adults are adopting plant-based 'buying behaviours'.The number of vegans in the UK has also increased by up to four times in the last 10 years. Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. It is not known yet how much it will cost.A spokesman for Vivera said: 'Vivera announces that it, as the first company in the world, will bring the 100 percent plant-based steak to market. Vegetarians, vegans and flexitarians will be able to enjoy this ground-breaking product. 'Vivera has already started production and expects to produce several million pieces in 2018.'The 'steak' will first launch in the UK before arriving in the Netherlands, Germany, France and Italy in the second half of 2018. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. With the breakthrough of its market introduction and large-scale production, a large group of consumers can enjoy this very tasty plant-based product.'The smell, taste and bite can hardly be distinguished from real steak and we are convinced that this product will meet a large need of consumers.'It is very important that we eat less meat, both for our own health, animal welfare and for our planet. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings. The commitment and stance Tesco has taken...is just amazing!'Accessibility will no longer be a barrier for anyone wanting to embrace a healthier and more compassionate way of eating that actually tastes amazing and isn't just boring and bland. This is here to stay and, and it's far beyond a trend. This is a very exciting year ahead and there's lots more to follow.'"
xEIJneiPo88,https://www.youtube.com/watch?v=xEIJneiPo88,Vegan steak that looks and tastes JUST like meat launches at Tesco | ABS US DAILY NEWS,2018-05-15,"TIN AN CO., LTD","Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings.",innovation_market; identity_lifestyle; taste_convenience; health; animal_welfare; environment; price_value,24,0,0,,"★More ABS NEWS - Entertainment Video►► A plant-based 'steak' that is said to look and taste just like real meat will soon be available at a major supermarket.The steak, which is made of wheat and soy, will launch at 400 Tesco stores across the UK from May 21 as the country sees a boom in popularity for veganism and flexitarian lifestyles.The product has been made by Dutch manufacturer Vivera, which describes it as 'barely distinguishable from real steak' in taste, texture and smell. It comes after British supermarkets have reported a surge in sales of vegan food, with the Vegan Society saying that more than half of adults are adopting plant-based 'buying behaviours'.The number of vegans in the UK has also increased by up to four times in the last 10 years. Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. It is not known yet how much it will cost.A spokesman for Vivera said: 'Vivera announces that it, as the first company in the world, will bring the 100 percent plant-based steak to market. Vegetarians, vegans and flexitarians will be able to enjoy this ground-breaking product. 'Vivera has already started production and expects to produce several million pieces in 2018.'The 'steak' will first launch in the UK before arriving in the Netherlands, Germany, France and Italy in the second half of 2018. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. With the breakthrough of its market introduction and large-scale production, a large group of consumers can enjoy this very tasty plant-based product.'The smell, taste and bite can hardly be distinguished from real steak and we are convinced that this product will meet a large need of consumers.'It is very important that we eat less meat, both for our own health, animal welfare and for our planet. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings. The commitment and stance Tesco has taken...is just amazing!'Accessibility will no longer be a barrier for anyone wanting to embrace a healthier and more compassionate way of eating that actually tastes amazing and isn't just boring and bland. This is here to stay and, and it's far beyond a trend. This is a very exciting year ahead and there's lots more to follow.'"
4idJX1u39R4,https://www.youtube.com/watch?v=4idJX1u39R4,Vegan steak that looks and tastes JUST like meat launches at Tesco,2018-05-19,"Nachel Pono Co., LTD","Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings.",innovation_market; identity_lifestyle; taste_convenience; health; animal_welfare; environment; price_value,4,0,0,,"A plant-based 'steak' that is said to look and taste just like real meat will soon be available at a major supermarket.The steak, which is made of wheat and soy, will launch at 400 Tesco stores across the UK from May 21 as the country sees a boom in popularity for veganism and flexitarian lifestyles.The product has been made by Dutch manufacturer Vivera, which describes it as 'barely distinguishable from real steak' in taste, texture and smell. It comes after British supermarkets have reported a surge in sales of vegan food, with the Vegan Society saying that more than half of adults are adopting plant-based 'buying behaviours'.The number of vegans in the UK has also increased by up to four times in the last 10 years. Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. It is not known yet how much it will cost.A spokesman for Vivera said: 'Vivera announces that it, as the first company in the world, will bring the 100 percent plant-based steak to market. Vegetarians, vegans and flexitarians will be able to enjoy this ground-breaking product. 'Vivera has already started production and expects to produce several million pieces in 2018.'The 'steak' will first launch in the UK before arriving in the Netherlands, Germany, France and Italy in the second half of 2018. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. With the breakthrough of its market introduction and large-scale production, a large group of consumers can enjoy this very tasty plant-based product.'The smell, taste and bite can hardly be distinguished from real steak and we are convinced that this product will meet a large need of consumers.'It is very important that we eat less meat, both for our own health, animal welfare and for our planet. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings. The commitment and stance Tesco has taken...is just amazing!'Accessibility will no longer be a barrier for anyone wanting to embrace a healthier and more compassionate way of eating that actually tastes amazing and isn't just boring and bland. This is here to stay and, and it's far beyond a trend. This is a very exciting year ahead and there's lots more to follow.'"
q-tv-RYqGvU,https://www.youtube.com/watch?v=q-tv-RYqGvU,Vegan steak that looks and tastes JUST like meat launches at Tesco,2018-05-19,"MiSa Du Co., LTD","Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings.",innovation_market; identity_lifestyle; taste_convenience; health; animal_welfare; environment; price_value,22,0,0,,"A plant-based 'steak' that is said to look and taste just like real meat will soon be available at a major supermarket.The steak, which is made of wheat and soy, will launch at 400 Tesco stores across the UK from May 21 as the country sees a boom in popularity for veganism and flexitarian lifestyles.The product has been made by Dutch manufacturer Vivera, which describes it as 'barely distinguishable from real steak' in taste, texture and smell. It comes after British supermarkets have reported a surge in sales of vegan food, with the Vegan Society saying that more than half of adults are adopting plant-based 'buying behaviours'.The number of vegans in the UK has also increased by up to four times in the last 10 years. Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. It is not known yet how much it will cost.A spokesman for Vivera said: 'Vivera announces that it, as the first company in the world, will bring the 100 percent plant-based steak to market. Vegetarians, vegans and flexitarians will be able to enjoy this ground-breaking product. 'Vivera has already started production and expects to produce several million pieces in 2018.'The 'steak' will first launch in the UK before arriving in the Netherlands, Germany, France and Italy in the second half of 2018. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. With the breakthrough of its market introduction and large-scale production, a large group of consumers can enjoy this very tasty plant-based product.'The smell, taste and bite can hardly be distinguished from real steak and we are convinced that this product will meet a large need of consumers.'It is very important that we eat less meat, both for our own health, animal welfare and for our planet. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings. The commitment and stance Tesco has taken...is just amazing!'Accessibility will no longer be a barrier for anyone wanting to embrace a healthier and more compassionate way of eating that actually tastes amazing and isn't just boring and bland. This is here to stay and, and it's far beyond a trend. This is a very exciting year ahead and there's lots more to follow.'"
WHZTuCBKDkA,https://www.youtube.com/watch?v=WHZTuCBKDkA,Vegan steak that looks and tastes JUST like meat launches at Tesco,2018-05-15,"Bat Lona Co., LTD","Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings.",innovation_market; identity_lifestyle; taste_convenience; health; animal_welfare; environment; price_value,12,0,0,,"A plant-based 'steak' that is said to look and taste just like real meat will soon be available at a major supermarket.The steak, which is made of wheat and soy, will launch at 400 Tesco stores across the UK from May 21 as the country sees a boom in popularity for veganism and flexitarian lifestyles.The product has been made by Dutch manufacturer Vivera, which describes it as 'barely distinguishable from real steak' in taste, texture and smell. It comes after British supermarkets have reported a surge in sales of vegan food, with the Vegan Society saying that more than half of adults are adopting plant-based 'buying behaviours'.The number of vegans in the UK has also increased by up to four times in the last 10 years. Share this article Share The new plant-based steak is thought to be the first realistic steak lookalike product to launch in a mainstream UK supermarket. It is not known yet how much it will cost.A spokesman for Vivera said: 'Vivera announces that it, as the first company in the world, will bring the 100 percent plant-based steak to market. Vegetarians, vegans and flexitarians will be able to enjoy this ground-breaking product. 'Vivera has already started production and expects to produce several million pieces in 2018.'The 'steak' will first launch in the UK before arriving in the Netherlands, Germany, France and Italy in the second half of 2018. Gert Jan Gombert of Vivera told Plant Based News: 'A large group of vegetarians, vegans and flexitarians has been very interested in such a product for years. With the breakthrough of its market introduction and large-scale production, a large group of consumers can enjoy this very tasty plant-based product.'The smell, taste and bite can hardly be distinguished from real steak and we are convinced that this product will meet a large need of consumers.'It is very important that we eat less meat, both for our own health, animal welfare and for our planet. Innovative and high-quality plant-based products can make a significant contribution here.' Tesco has made strides in bringing plant-based food to the mass market this year after launching its Wicked Kitchen vegan range in January, developed in collaboration with chefs Derek and Chad Sarno.Bringing these products to the mass market means this will be a big year for veganism, Derek Sarno told Plant Based News.He added: 'This is the year that we will see a major shift in food service offerings. The commitment and stance Tesco has taken...is just amazing!'Accessibility will no longer be a barrier for anyone wanting to embrace a healthier and more compassionate way of eating that actually tastes amazing and isn't just boring and bland. This is here to stay and, and it's far beyond a trend. This is a very exciting year ahead and there's lots more to follow.'"
8LwveoDO_M8,https://www.youtube.com/watch?v=8LwveoDO_M8,Questions to ask at the End of an Interview,2020-09-20,Life Work Balance,"Questions to ask in a job interview: there are three different types of questions you should ask during a job interview. Check out my website here: Check out the different services I offer, pricing, and schedule directly with me here: Email me directly at: abby@lwbalance.com Check out my website for a **FREE** list of 52 common behavior-based interview questions: ~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~* WATCH NEXT: Questions to ask at the End of an Internal Interview: Questions to Ask at the END of Your FIRST Interview: Questions to Ask at the End of a Second-Round Interview: CULTURE Questions to Ask at the End of an Interview: ROLE-SPECIFIC Questions to Ask at the End of an Interview: HARD/HESITATION Questions to Ask at the End of an Interview: How to answer almost ANY interview question: Tell me about yourself: How to answer this common interview question: Interview Tips: Questions about Weaknesses: Interview Tips playlist: ~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~* 🎉Have my videos helped you in your job search or landed you a job? SHOP → → → Items to help you have a successful: 🎥 video interview: 👥 in-person interview: Want customized coaching or consulting to help you with the interview process?",price_value,3255817,113177,3169,,"Questions to ask in a job interview: there are three different types of questions you should ask during a job interview. Watch this video to see what those three different types of questions are AND what types of questions you should NOT ask during an interview. If you’re looking for customized help with your job search process (including crafting your answers to very common interview questions, creating an incredible resume that will help you get noticed, or general interview prep) check out my website and let me know if you want to work together! Check out my website here: Check out the different services I offer, pricing, and schedule directly with me here: Email me directly at: abby@lwbalance.com Check out my website for a **FREE** list of 52 common behavior-based interview questions: ~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~* WATCH NEXT: Questions to ask at the End of an Internal Interview: Questions to Ask at the END of Your FIRST Interview: Questions to Ask at the End of a Second-Round Interview: CULTURE Questions to Ask at the End of an Interview: ROLE-SPECIFIC Questions to Ask at the End of an Interview: HARD/HESITATION Questions to Ask at the End of an Interview: How to answer almost ANY interview question: Tell me about yourself: How to answer this common interview question: Interview Tips: Questions about Weaknesses: Interview Tips playlist: ~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~* 🎉Have my videos helped you in your job search or landed you a job? If you'd like to say thanks you can always buy me a coffee ☕️ or sponsor me on Patreon! Buy me a ☕️ : Sponsor me: Life Work Balance Amazon Store SHOP AMAZON to see my favorite things! It's no extra cost to you, but it does give me a small percentage for giving you the recommendation! SHOP → → → Items to help you have a successful: 🎥 video interview: 👥 in-person interview: Want customized coaching or consulting to help you with the interview process? Check out my packages here: Visit my website for a **FREE** Resume e-book: Connect with me! LinkedIn: Facebook: Instagram: Twitter: Subscribe today! About Life Work Balance & Abby: Hi! I help individuals, companies, and organizations obtain and use the tools needed to improve their professional, relational, and organizational performance. Feeling like your job is draining all of your energy and you're looking for a change? Interested in becoming an entrepreneur, but not sure where to start? Abby & Life Work Balance are here for you! Please subscribe and hit that notifications bell to be updated when new videos are uploaded every Sunday! #lifeworkbalance #career #careercoach #careeradvice #HowTo #Interview #InterviewQuestions #QuestionsToAsk #QuestionsToAskDuringInterview #JobSearch #Interviewing"
Q_NMtrnUxVc,https://www.youtube.com/watch?v=Q_NMtrnUxVc,Vox Pop about veganism,2017-11-22,Yihan Lou,,identity_lifestyle,40,,,,
